RD [%],D [m],L [m],t [m],H [kN],M [kN.m],y [m],rot [deg]
0.50,10,20,0.091,1439.499756,86369.98535,0.017174024,0.073353203
0.50,10,20,0.091,1449.031608,86941.89651,0.017340159,0.074038186
0.50,10,20,0.091,1649.842529,98990.55176,0.021082489,0.089257229
0.50,10,20,0.091,1999.862305,119991.7383,0.028751276,0.120033644
0.50,10,20,0.091,2592.718018,155563.0811,0.044401808,0.182370467
0.50,10,20,0.091,3479.431885,208765.9131,0.07657814,0.309289359
0.50,10,20,0.091,4733.250488,283995.0293,0.14177411,0.567494091
0.50,10,20,0.091,5669.236328,340154.1797,0.206797399,0.829013215
0.50,10,20,0.091,6468.636719,388118.2031,0.271781504,1.091856471
0.50,10,20,0.091,7147.439941,428846.3965,0.336542785,1.356067515
0.50,10,20,0.091,7728.777832,463726.6699,0.401162177,1.621322442
0.50,10,20,0.091,8248.118164,494887.0898,0.465804264,1.887063159
0.50,10,20,0.091,8734.735352,524084.1211,0.530574113,2.152955436
0.50,10,20,0.091,9168.501953,550110.1172,0.595405102,2.419224988
0.50,10,20,0.091,9564.18457,573851.0742,0.660286754,2.685718259
0.50,10,20,0.091,9926.313477,595578.8086,0.725156337,2.952435556
0.50,10,20,0.091,10257.04688,615422.8125,0.790040463,3.219329787
0.50,10,20,0.091,10562.79297,633767.5781,0.854932755,3.486316708
0.50,10,20,0.091,10845.33594,650720.1563,0.919840306,3.753364656
0.50,10,20,0.091,11107.93848,666476.3086,0.984731138,4.020455335
0.50,10,20,0.091,11355.46289,681327.7734,1.049633563,4.287511193
0.50,10,20,0.091,11587.08691,695225.2148,1.114563525,4.554508989
0.50,10,20,0.091,11803.08984,708185.3906,1.17948705,4.82147368
0.50,10,20,0.091,12003.78418,720227.0508,1.244401276,5.088385397
0.50,10,20,0.091,12195.69336,731741.6016,1.309304237,5.35517438
0.50,10,20,0.091,12378.89551,742733.7305,1.374242425,5.62178648
0.50,10,20,0.091,12551.18945,753071.3672,1.439168394,5.888262867
0.50,10,20,0.091,12712.86426,762771.8555,1.504088163,6.154602358
0.50,10,20,0.091,12863.6416,771818.4961,1.568978369,6.420799547
0.50,10,20,0.091,13006.48438,780389.0625,1.633886576,6.686784025
0.50,10,20,0.091,13142.88184,788572.9102,1.698802292,6.952532794
0.50,10,20,0.091,13273.48242,796408.9453,1.763727725,7.218026164
0.50,10,20,0.091,13399.94141,803996.4844,1.828686833,7.483221548
0.50,10,20,0.091,13519.36719,811162.0313,1.893647373,7.748152196
0.50,10,20,0.091,13633.11035,817986.6211,1.958614886,8.012796794
0.50,10,20,0.091,13742.96094,824577.6563,2.023610175,8.277109068
0.50,10,20,0.091,13776.20595,826572.357,2.04392435,8.359639986
0.50,10,30,0.091,69.95023346,4197.014008,0.000260467,0.001110603
0.50,10,30,0.091,104.5026627,6270.15976,0.000392845,0.001668377
0.50,10,30,0.091,138.8313751,8329.882507,0.000526401,0.002227439
0.50,10,30,0.091,172.9414825,10376.48895,0.00066109,0.002787748
0.50,10,30,0.091,206.8460236,12410.76141,0.000796832,0.003349217
0.50,10,30,0.091,240.5350494,14432.10297,0.000933653,0.0039119
0.50,10,30,0.091,274.0239258,16441.43555,0.001071478,0.004475715
0.50,10,30,0.091,307.294281,18437.65686,0.001210365,0.005040743
0.50,10,30,0.091,373.4442749,22406.65649,0.001490081,0.006172988
0.50,10,30,0.091,438.7087097,26322.52258,0.001774141,0.007310186
0.50,10,30,0.091,503.1569519,30189.41711,0.002062275,0.008451978
0.50,10,30,0.091,630.1385498,37808.31299,0.002648006,0.010746458
0.50,10,30,0.091,753.8295288,45229.77173,0.00324951,0.01305939
0.50,10,30,0.091,874.8482056,52490.89233,0.003863648,0.015387279
0.50,10,30,0.091,993.1947021,59591.68213,0.0044902,0.017730055
0.50,10,30,0.091,1109.018677,66541.12061,0.00512856,0.020086764
0.50,10,30,0.091,1222.602417,73356.14502,0.005777277,0.022455919
0.50,10,30,0.091,1333.650391,80019.02344,0.006437806,0.024838882
0.50,10,30,0.091,1442.771606,86566.29639,0.007107132,0.027232461
0.50,10,30,0.091,1549.869141,92992.14844,0.007785864,0.029637025
0.50,10,30,0.091,1655.042236,99302.53418,0.008473585,0.032051995
0.50,10,30,0.091,1758.366455,105501.9873,0.009170027,0.034476928
0.50,10,30,0.091,1859.973022,111598.3813,0.009874487,0.03691109
0.50,10,30,0.091,1959.944458,117596.6675,0.010586503,0.03935402
0.50,10,30,0.091,2058.232178,123493.9307,0.011306528,0.041805938
0.50,10,30,0.091,2133.000366,127980.022,0.011865708,0.04370031
0.50,10,30,0.091,2516.422363,150985.3418,0.014833395,0.053663804
0.50,10,30,0.091,3213.208496,192792.5098,0.021107534,0.073960889
0.50,10,30,0.091,4422.883789,265373.0273,0.034554819,0.115528363
0.50,10,30,0.091,6412.550781,384753.0469,0.063489556,0.201045975
0.50,10,30,0.091,9488.733398,569324.0039,0.125418529,0.377384073
0.50,10,30,0.091,11891.73242,713503.9453,0.18983607,0.558157867
0.50,10,30,0.091,13885.61328,833136.7969,0.255670436,0.741720288
0.50,10,30,0.091,15594.86816,935692.0898,0.322359338,0.92729522
0.50,10,30,0.091,17115.44141,1026926.484,0.389569089,1.114248714
0.50,10,30,0.091,18518.64648,1111118.789,0.457045794,1.30200997
0.50,10,30,0.091,19808.62109,1188517.266,0.52487354,1.490529395
0.50,10,30,0.091,21007.3418,1260440.508,0.592937797,1.679699149
0.50,10,30,0.091,22122.29492,1327337.695,0.661220282,1.869459946
0.50,10,30,0.091,23162.26953,1389736.172,0.729721844,2.05971938
0.50,10,30,0.091,24140.91797,1448455.078,0.798404515,2.250370693
0.50,10,30,0.091,25065.04297,1503902.578,0.867239088,2.441367081
0.50,10,30,0.091,25943.74609,1556624.766,0.936249405,2.632603379
0.50,10,30,0.091,26784.75977,1607085.586,1.005343735,2.824063508
0.50,10,30,0.091,27573.85742,1654431.445,1.074568033,3.015843502
0.50,10,30,0.091,28330.10938,1699806.563,1.143922031,3.207776486
0.50,10,30,0.091,29048.74023,1742924.414,1.213387609,3.399896575
0.50,10,30,0.091,29733.00781,1783980.469,1.282977283,3.592165938
0.50,10,30,0.091,30395.64063,1823738.438,1.352636099,3.784501386
0.50,10,30,0.091,31031.82422,1861909.453,1.422401726,3.9769168
0.50,10,30,0.091,31639.22656,1898353.594,1.492251754,4.169449119
0.50,10,30,0.091,32224.63086,1933477.852,1.562160611,4.362046229
0.50,10,30,0.091,32789.90625,1967394.375,1.632123947,4.554689696
0.50,10,30,0.091,33325.98438,1999559.063,1.702210546,4.747407069
0.50,10,30,0.091,33845.48828,2030729.297,1.772341251,4.940135479
0.50,10,30,0.091,34344.21484,2060652.891,1.842548668,5.132889087
0.50,10,30,0.091,34823.69531,2089421.719,1.912830234,5.325643244
0.50,10,30,0.091,35046.27704,2102776.622,1.945442202,5.415109496
0.50,10,40,0.091,143.0921021,8585.526123,0.000426526,0.001865202
0.50,10,40,0.091,213.7761841,12826.57104,0.000644707,0.002802382
0.50,10,40,0.091,283.9905701,17039.4342,0.000865544,0.003742005
0.50,10,40,0.091,353.7628479,21225.77087,0.001088844,0.004683894
0.50,10,40,0.091,423.0817871,25384.90723,0.001314625,0.005628078
0.50,10,40,0.091,492.0047607,29520.28564,0.001542578,0.006574237
0.50,10,40,0.091,628.8671875,37732.03125,0.002003894,0.008471752
0.50,10,40,0.091,763.8652954,45831.91772,0.002475647,0.010378576
0.50,10,40,0.091,897.2856445,53837.13867,0.002956036,0.012293284
0.50,10,40,0.091,1029.205688,61752.34131,0.003444597,0.014215462
0.50,10,40,0.091,1159.789307,69587.3584,0.003940304,0.016144269
0.50,10,40,0.091,1288.942505,77336.55029,0.004443622,0.018080056
0.50,10,40,0.091,1416.74585,85004.75098,0.004954203,0.020022367
0.50,10,40,0.091,1543.251831,92595.10986,0.005471785,0.021970917
0.50,10,40,0.091,1668.499146,100109.9487,0.005996105,0.02392552
0.50,10,40,0.091,1792.559692,107553.5815,0.006526771,0.025885759
0.50,10,40,0.091,1997.754639,119865.2783,0.00742685,0.029176234
0.50,10,40,0.091,2185.745919,131144.7552,0.008279509,0.032249221
0.50,10,40,0.091,2915.957031,174957.4219,0.011778147,0.044583983
0.50,10,40,0.091,4276.326172,256579.5703,0.019348146,0.069691489
0.50,10,40,0.091,6714.259766,402855.5859,0.036205349,0.121072319
0.50,10,40,0.091,10883.39063,653003.4375,0.074480373,0.226589
0.50,10,40,0.091,17658.07813,1059484.688,0.161054559,0.443977059
0.50,10,40,0.091,23273.19531,1396391.719,0.254065052,0.666746181
0.50,10,40,0.091,27983.69727,1679021.836,0.352152437,0.893833185
0.50,10,40,0.091,32011.76758,1920706.055,0.453835964,1.124449976
0.50,10,40,0.091,35702.86719,2142172.031,0.556965202,1.356835865
0.50,10,40,0.091,39093.26953,2345596.172,0.661588639,1.590723003
0.50,10,40,0.091,42185.33594,2531120.156,0.767520875,1.826214452
0.50,10,40,0.091,45062.58203,2703754.922,0.874556154,2.062748402
0.50,10,40,0.091,47767.66797,2866060.078,0.98240304,2.300136971
0.50,10,40,0.091,50290.90625,3017454.375,1.09118551,2.538421783
0.50,10,40,0.091,52683.28516,3160997.109,1.200545311,2.777330585
0.50,10,40,0.091,54958.45313,3297507.188,1.310534,3.016719688
0.50,10,40,0.091,57104.71094,3426282.656,1.421220243,3.256633766
0.50,10,40,0.091,59140.58594,3548435.156,1.532480836,3.496990123
0.50,10,40,0.091,61082.86328,3664971.797,1.644185662,3.737716649
0.50,10,40,0.091,62502.17158,3750130.295,1.729310585,3.920722645
0.50,10,60,0.091,115.4244919,6925.469513,0.000318403,0.001440906
0.50,10,60,0.091,172.6761627,10360.56976,0.00048028,0.002163806
0.50,10,60,0.091,229.67836,13780.7016,0.000643612,0.002888019
0.50,10,60,0.091,286.4445496,17186.67297,0.0008083,0.003613455
0.50,10,60,0.091,342.9844055,20579.06433,0.000974257,0.004340048
0.50,10,60,0.091,399.2925415,23957.55249,0.001141508,0.005067827
0.50,10,60,0.091,455.3851013,27323.10608,0.001309936,0.005796668
0.50,10,60,0.091,567.1113892,34026.68335,0.001649228,0.007256791
0.50,10,60,0.091,677.8665161,40671.99097,0.001994052,0.008721666
0.50,10,60,0.091,787.885376,47273.12256,0.002343049,0.010190219
0.50,10,60,0.091,967.138855,58028.3313,0.002925176,0.012611915
0.50,10,60,0.091,1144.293823,68657.62939,0.003519113,0.015043755
0.50,10,60,0.091,1319.603149,79176.18896,0.00412316,0.017484483
0.50,10,60,0.091,1493.193726,89591.62354,0.004736498,0.019933387
0.50,10,60,0.091,1665.287354,99917.24121,0.005358018,0.022389374
0.50,10,60,0.091,1791.629162,107497.7497,0.005825008,0.024214279
0.50,10,60,0.091,2822.053711,169323.2227,0.009858179,0.03958431
0.50,10,60,0.091,4764.836426,285890.1855,0.018614864,0.070817857
0.50,10,60,0.091,8374.871094,502492.2656,0.037915325,0.134285451
0.50,10,60,0.091,15029.36621,901761.9727,0.080784723,0.262833035
0.50,10,60,0.091,27174.74414,1630484.648,0.176547237,0.52199205
0.50,10,60,0.091,38507.46484,2310447.891,0.279812619,0.782081167
0.50,10,60,0.091,49200.05078,2952003.047,0.388883606,1.043068424
0.50,10,60,0.091,59306.0625,3558363.75,0.50293088,1.305103383
0.50,10,60,0.091,68841.91406,4130514.844,0.621707082,1.568300618
0.50,10,60,0.091,77845.76563,4670745.938,0.744806617,1.832476215
0.50,10,60,0.091,86402.4375,5184146.25,0.871679902,2.097427762
0.50,10,60,0.091,94510.41406,5670624.844,1.002433717,2.36311422
0.50,10,60,0.091,102217.2656,6133035.938,1.136584461,2.629480041
0.50,10,60,0.091,102734.5003,6164070.019,1.144430709,2.646064049
0.50,12,24,0.109,63.95714951,3837.42897,0.000260131,0.001052
0.50,12,24,0.109,95.35158539,5721.095123,0.00039176,0.001579691
0.50,12,24,0.109,126.4363098,7586.178589,0.000524263,0.002108257
0.50,12,24,0.109,157.2166443,9432.998657,0.000657608,0.002637677
0.50,12,24,0.109,187.7157898,11262.94739,0.000791709,0.003167879
0.50,12,24,0.109,217.9326477,13075.95886,0.000926539,0.003698868
0.50,12,24,0.109,247.8581238,14871.48743,0.001062139,0.004230659
0.50,12,24,0.109,277.4793701,16648.76221,0.001198531,0.004763298
0.50,12,24,0.109,336.1794434,20170.7666,0.001472769,0.005830067
0.50,12,24,0.109,393.657196,23619.43176,0.001750098,0.006900244
0.50,12,24,0.109,506.1370239,30368.22144,0.002311176,0.009047614
0.50,12,24,0.109,614.3950806,36863.70483,0.002882439,0.011207005
0.50,12,24,0.109,718.7474976,43124.84985,0.003463046,0.01337745
0.50,12,24,0.109,820.4481201,49226.88721,0.004049691,0.015555629
0.50,12,24,0.109,918.8399048,55130.39429,0.004643925,0.017743091
0.50,12,24,0.109,1014.363953,60861.83716,0.005244622,0.019938649
0.50,12,24,0.109,1107.277588,66436.65527,0.005851121,0.022141662
0.50,12,24,0.109,1197.547852,71852.87109,0.006463562,0.024351937
0.50,12,24,0.109,1285.404663,77124.27979,0.007081264,0.026568863
0.50,12,24,0.109,1454.65332,87279.19922,0.008331233,0.031020264
0.50,12,24,0.109,1616.023438,96961.40625,0.009598294,0.03549347
0.50,12,24,0.109,1770.375122,106222.5073,0.010880412,0.039986198
0.50,12,24,0.109,1918.312744,115098.7646,0.012176389,0.044496835
0.50,12,24,0.109,2060.665771,123639.9463,0.013484261,0.04902332
0.50,12,24,0.109,2198.149658,131888.9795,0.014802704,0.053563651
0.50,12,24,0.109,2331.221191,139873.2715,0.016130687,0.058116675
0.50,12,24,0.109,2460.304688,147618.2813,0.017467019,0.062681135
0.50,12,24,0.109,2585.854004,155151.2402,0.018810392,0.067255979
0.50,12,24,0.109,2707.941162,162476.4697,0.020160771,0.071841077
0.50,12,24,0.109,2789.276216,167356.573,0.021080586,0.074960433
0.50,12,24,0.109,3173.844238,190430.6543,0.0256153,0.090282317
0.50,12,24,0.109,3844.079102,230644.7461,0.034894127,0.121213003
0.50,12,24,0.109,4985.922363,299155.3418,0.053794943,0.183739836
0.50,12,24,0.109,6677.24707,400634.8242,0.092607472,0.310875775
0.50,12,24,0.109,9057.518555,543451.1133,0.171308875,0.56914201
0.50,12,24,0.109,10864.49609,651869.7656,0.250107735,0.830281785
0.50,12,24,0.109,12392.66406,743559.8438,0.328207791,1.093186843
0.50,12,24,0.109,13662.76855,819766.1133,0.406037539,1.357597942
0.50,12,24,0.109,14745.2627,884715.7617,0.483370334,1.623299135
0.50,12,24,0.109,15769.4873,946169.2383,0.56099686,1.888948278
0.50,12,24,0.109,16683.80078,1001028.047,0.638756305,2.154943766
0.50,12,24,0.109,17495.25781,1049715.469,0.716460675,2.421419918
0.50,12,24,0.109,18232.88086,1093972.852,0.794140995,2.688168117
0.50,12,24,0.109,18900.6582,1134039.492,0.871899039,2.955071026
0.50,12,24,0.109,19536.16016,1172169.609,0.949490011,3.222129325
0.50,12,24,0.109,20119.8418,1207190.508,1.027137339,3.489247158
0.50,12,24,0.109,20658.81641,1239528.984,1.104762793,3.756453084
0.50,12,24,0.109,21161.40234,1269684.141,1.182381094,4.023692436
0.50,12,24,0.109,21630.58203,1297834.922,1.259975195,4.290941909
0.50,12,24,0.109,22068.5332,1324111.992,1.337544441,4.558170029
0.50,12,24,0.109,22469.5957,1348175.742,1.415090263,4.825411221
0.50,12,24,0.109,22838.52148,1370311.289,1.492599905,5.092643019
0.50,12,24,0.109,23208.05273,1392483.164,1.570151865,5.359594596
0.50,12,24,0.109,23556.45117,1413387.07,1.647713244,5.626411937
0.50,12,24,0.109,23889.78516,1433387.109,1.725281715,5.893046354
0.50,12,24,0.109,24201.32813,1452079.688,1.802853167,6.159527269
0.50,12,24,0.109,24492.17969,1469530.781,1.880392849,6.425874993
0.50,12,24,0.109,24775.91406,1486554.844,1.957911372,6.691994646
0.50,12,24,0.109,25043.95898,1502637.539,2.035404146,6.957920467
0.50,12,24,0.109,25297.86328,1517871.797,2.112875938,7.22363501
0.50,12,24,0.109,25542.19922,1532531.953,2.190351844,7.489077549
0.50,12,24,0.109,25774.60352,1546476.211,2.267804146,7.754279027
0.50,12,24,0.109,25993.50195,1559610.117,2.345219135,8.019234526
0.50,12,24,0.109,26205.50391,1572330.234,2.422605872,8.283899031
0.50,12,24,0.109,26267.42988,1576045.793,2.446777792,8.366571911
0.50,12,36,0.109,120.8030701,7248.184204,0.00029269,0.001058497
0.50,12,36,0.109,180.4898529,10829.39117,0.000441234,0.001589514
0.50,12,36,0.109,239.8024597,14388.14758,0.000590957,0.002121444
0.50,12,36,0.109,298.750061,17925.00366,0.000741805,0.002654252
0.50,12,36,0.109,357.3457336,21440.74402,0.00089373,0.003187899
0.50,12,36,0.109,415.5917053,24935.50232,0.001046691,0.003722372
0.50,12,36,0.109,473.4533997,28407.20398,0.001200824,0.004257767
0.50,12,36,0.109,530.97229,31858.3374,0.001355966,0.004793964
0.50,12,36,0.109,645.3566895,38721.40137,0.001668229,0.00586792
0.50,12,36,0.109,758.2131958,45492.79175,0.00198506,0.006945429
0.50,12,36,0.109,869.7068481,52182.41089,0.002305962,0.008026156
0.50,12,36,0.109,1089.515259,65370.91553,0.002956991,0.010195276
0.50,12,36,0.109,1303.94519,78236.71143,0.003623397,0.012377039
0.50,12,36,0.109,1513.710083,90822.60498,0.004303002,0.014569735
0.50,12,36,0.109,1719.074463,103144.4678,0.004994789,0.016772669
0.50,12,36,0.109,1920.251587,115215.0952,0.005698119,0.018985295
0.50,12,36,0.109,2117.400635,127044.0381,0.006412449,0.021207202
0.50,12,36,0.109,2311.0271,138661.626,0.007136276,0.023437157
0.50,12,36,0.109,2501.03125,150061.875,0.007869972,0.025675172
0.50,12,36,0.109,2687.621826,161257.3096,0.008612992,0.027920781
0.50,12,36,0.109,2870.990479,172259.4287,0.009364965,0.030173554
0.50,12,36,0.109,3051.327148,183079.6289,0.010125292,0.032433043
0.50,12,36,0.109,3228.808594,193728.5156,0.010893567,0.034698852
0.50,12,36,0.109,3403.546631,204212.7979,0.011669538,0.036970755
0.50,12,36,0.109,3575.594727,214535.6836,0.012453096,0.039248606
0.50,12,36,0.109,3744.897949,224693.877,0.013244405,0.041532425
0.50,12,36,0.109,3912.101074,234726.0645,0.014041575,0.043820875
0.50,12,36,0.109,4063.685077,243821.1046,0.014779753,0.045927833
0.50,12,36,0.109,4732.533691,283952.0215,0.018085509,0.055327108
0.50,12,36,0.109,5935.723633,356143.418,0.025092639,0.074405684
0.50,12,36,0.109,8071.645508,484298.7305,0.039898163,0.113140016
0.50,12,36,0.109,11602.56836,696154.1016,0.071679194,0.19222734
0.50,12,36,0.109,17115.50391,1026930.234,0.139550857,0.354162622
0.50,12,36,0.109,21514.38867,1290863.32,0.210005447,0.519261978
0.50,12,36,0.109,25128.41016,1507704.609,0.282168582,0.686713431
0.50,12,36,0.109,28272.41992,1696345.195,0.35516578,0.85567335
0.50,12,36,0.109,31084.70313,1865082.188,0.428786188,1.025679643
0.50,12,36,0.109,33643.94141,2018636.484,0.502844349,1.196482057
0.50,12,36,0.109,35986.46875,2159188.125,0.577207297,1.367989957
0.50,12,36,0.109,38182.35938,2290941.563,0.651818991,1.539974606
0.50,12,36,0.109,40221.55859,2413293.516,0.726676971,1.712447218
0.50,12,36,0.109,42132.63281,2527957.969,0.80171302,1.885330924
0.50,12,36,0.109,43954.64063,2637278.438,0.876908273,2.05845862
0.50,12,36,0.109,45677.53516,2740652.109,0.952278584,2.231866837
0.50,12,36,0.109,47308.49609,2838509.766,1.027782142,2.405542463
0.50,12,36,0.109,48864.0625,2931843.75,1.103450358,2.579396111
0.50,12,36,0.109,50344.57422,3020674.453,1.179238439,2.753451324
0.50,12,36,0.109,51759.69531,3105581.719,1.255150914,2.927663541
0.50,12,36,0.109,53099.35547,3185961.328,1.331137955,3.102101097
0.50,12,36,0.109,54380.53516,3262832.109,1.407254636,3.27665712
0.50,12,36,0.109,55609.58594,3336575.156,1.48345387,3.451328931
0.50,12,36,0.109,56798.51172,3407910.703,1.55973798,3.626064655
0.50,12,36,0.109,57943.24219,3476594.531,1.636100352,3.800873827
0.50,12,36,0.109,59030.16797,3541810.078,1.712526143,3.975826138
0.50,12,36,0.109,60079.10156,3604746.094,1.789016724,4.150826946
0.50,12,36,0.109,61100.625,3666037.5,1.865542233,4.325837361
0.50,12,36,0.109,62090.75,3725445,1.94216305,4.500842742
0.50,12,36,0.109,63052.66406,3783159.844,2.018799305,4.675868042
0.50,12,36,0.109,63972.72656,3838363.594,2.095551968,4.850909906
0.50,12,36,0.109,64861.91016,3891714.609,2.172363877,5.025954102
0.50,12,36,0.109,65722.60938,3943356.563,2.249282122,5.20096102
0.50,12,36,0.109,66561.94531,3993716.719,2.326225162,5.375931752
0.50,12,36,0.109,66827.76956,4009666.174,2.350257568,5.430590032
0.50,12,48,0.109,227.1051025,13626.30615,0.00045234,0.001680017
0.50,12,48,0.109,339.3267212,20359.60327,0.000683018,0.002522949
0.50,12,48,0.109,450.8254395,27049.52637,0.000916103,0.003367443
0.50,12,48,0.109,561.6259766,33697.55859,0.001151475,0.004213419
0.50,12,48,0.109,671.7120972,40302.72583,0.001389194,0.005060909
0.50,12,48,0.109,781.171814,46870.30884,0.001628969,0.00590966
0.50,12,48,0.109,998.6721191,59920.32715,0.002113096,0.007610379
0.50,12,48,0.109,1213.230957,72793.85742,0.002607001,0.009316962
0.50,12,48,0.109,1425.351929,85521.11572,0.003108698,0.011028554
0.50,12,48,0.109,1635.213989,98112.83936,0.003617631,0.012744749
0.50,12,48,0.109,1843.043579,110582.6147,0.004133025,0.01446507
0.50,12,48,0.109,2048.688477,122921.3086,0.004655257,0.016189715
0.50,12,48,0.109,2252.275879,135136.5527,0.00518392,0.017918383
0.50,12,48,0.109,2453.853516,147231.2109,0.005718851,0.019651002
0.50,12,48,0.109,2653.493164,159209.5898,0.0062598,0.021387383
0.50,12,48,0.109,3047.693359,182861.6016,0.007356933,0.02487026
0.50,12,48,0.109,3434.814697,206088.8818,0.00847644,0.02836571
0.50,12,48,0.109,3815.618652,228937.1191,0.009615778,0.031872541
0.50,12,48,0.109,4155.095508,249305.7305,0.010661551,0.035052176
0.50,12,48,0.109,5278.148926,316688.9355,0.014273624,0.045846537
0.50,12,48,0.109,7386.727051,443203.623,0.021962456,0.067658749
0.50,12,48,0.109,11220.76465,673245.8789,0.038708387,0.11184791
0.50,12,48,0.109,17889.99805,1073399.883,0.076045014,0.201520992
0.50,12,48,0.109,28920.50391,1735230.234,0.159872219,0.383788512
0.50,12,48,0.109,38328.71094,2299722.656,0.249548219,0.568627538
0.50,12,48,0.109,46377.53906,2782652.344,0.343968183,0.755846178
0.50,12,48,0.109,53403.9375,3204236.25,0.441656291,0.944995162
0.50,12,48,0.109,59695.88281,3581752.969,0.541546255,1.13563787
0.50,12,48,0.109,65422.54297,3925352.578,0.64310649,1.327442216
0.50,12,48,0.109,70691.59375,4241495.625,0.74597767,1.520185303
0.50,12,48,0.109,75603.35938,4536201.563,0.849859089,1.713668943
0.50,12,48,0.109,80191.55469,4811493.281,0.954648316,1.90780862
0.50,12,48,0.109,84528.375,5071702.5,1.060153753,2.102466221
0.50,12,48,0.109,88597.14063,5315828.438,1.166424394,2.297656829
0.50,12,48,0.109,92506.71094,5550402.656,1.273113668,2.493147736
0.50,12,48,0.109,96218.57031,5773114.219,1.380445659,2.688991474
0.50,12,48,0.109,99771.35938,5986281.563,1.488222659,2.885103345
0.50,12,48,0.109,103145.8359,6188750.156,1.596505165,3.081532514
0.50,12,48,0.109,106379.2422,6382754.531,1.705214798,3.278180805
0.50,12,48,0.109,109486.2266,6569173.594,1.814264894,3.475030253
0.50,12,48,0.109,112463.5703,6747814.219,1.92372179,3.672073085
0.50,12,48,0.109,115332.25,6919935,2.033437967,3.86927332
0.50,12,48,0.109,117057.3464,7023440.784,2.101316558,3.991163852
0.50,12,60,0.109,220.4736328,13228.41797,0.000417551,0.001584124
0.50,12,60,0.109,329.6323547,19777.94128,0.000630021,0.002378529
0.50,12,60,0.109,438.2020569,26292.12341,0.000844491,0.003174213
0.50,12,60,0.109,546.2182617,32773.0957,0.001060807,0.003971066
0.50,12,60,0.109,653.6870728,39221.22437,0.001278948,0.004769075
0.50,12,60,0.109,760.6195679,45637.17407,0.001498866,0.005568182
0.50,12,60,0.109,867.0293579,52021.76147,0.001720539,0.006368351
0.50,12,60,0.109,1078.832275,64729.93652,0.002167132,0.007971054
0.50,12,60,0.109,1288.259521,77295.57129,0.002621773,0.009578381
0.50,12,60,0.109,1495.818237,89749.09424,0.00308242,0.011189482
0.50,12,60,0.109,1877.700928,112662.0557,0.00395122,0.014192814
0.50,12,60,0.109,2252.998291,135179.8975,0.004841234,0.017208728
0.50,12,60,0.109,2623.443848,157406.6309,0.005746544,0.02023389
0.50,12,60,0.109,2988.659912,179319.5947,0.006668175,0.023268895
0.50,12,60,0.109,3349.554199,200973.252,0.007603271,0.02631171
0.50,12,60,0.109,3706.31958,222379.1748,0.008551307,0.029361758
0.50,12,60,0.109,3788.969315,227338.1589,0.008777175,0.030077604
0.50,12,60,0.109,5206.856445,312411.3867,0.012754409,0.042574024
0.50,12,60,0.109,7893.901855,473634.1113,0.021220952,0.067792717
0.50,12,60,0.109,12878.92871,772735.7227,0.039610859,0.118724557
0.50,12,60,0.109,21945.45508,1316727.305,0.080229551,0.221395665
0.50,12,60,0.109,38000.89453,2280053.672,0.171429589,0.427731032
0.50,12,60,0.109,52443.53906,3146612.344,0.270680435,0.634556311
0.50,12,60,0.109,65756.61719,3945397.031,0.37507987,0.842095282
0.50,12,60,0.109,77956.77344,4677406.406,0.484510288,1.050489132
0.50,12,60,0.109,89133.6875,5348021.25,0.598302692,1.259750222
0.50,12,60,0.109,99426.17969,5965570.781,0.71572727,1.469782177
0.50,12,60,0.109,108991.125,6539467.5,0.836136192,1.680479027
0.50,12,60,0.109,117968.3516,7078101.094,0.958964318,1.891753426
0.50,12,60,0.109,126451.7813,7587106.875,1.083770961,2.103489725
0.50,12,60,0.109,134486.2031,8069172.188,1.210416734,2.315622666
0.50,12,60,0.109,142106.125,8526367.5,1.338741243,2.528127679
0.50,12,60,0.109,149389.7344,8963384.063,1.468364894,2.740918325
0.50,12,60,0.109,156339.375,9380362.5,1.599335909,2.954002955
0.50,12,60,0.109,163022.8125,9781368.75,1.731387913,3.167288558
0.50,12,60,0.109,164712.7221,9882763.327,1.763590337,3.21976636
0.50,12,72,0.109,199.0664215,11943.98529,0.000373962,0.00142625
0.50,12,72,0.109,297.7235413,17863.41248,0.000563949,0.002141301
0.50,12,72,0.109,395.908905,23754.5343,0.000755536,0.002857386
0.50,12,72,0.109,493.6485901,29618.91541,0.000948604,0.003574427
0.50,12,72,0.109,590.9451904,35456.71143,0.001143131,0.00429241
0.50,12,72,0.109,687.7874756,41267.24854,0.001339154,0.005011354
0.50,12,72,0.109,784.2312012,47053.87207,0.001536482,0.005731105
0.50,12,72,0.109,976.2542725,58575.25635,0.001933933,0.007172587
0.50,12,72,0.109,1166.404297,69984.25781,0.00233773,0.00861777
0.50,12,72,0.109,1355.019165,81301.1499,0.002746495,0.010066108
0.50,12,72,0.109,1702.188721,102131.3232,0.003515829,0.012763382
0.50,12,72,0.109,2044.083496,122645.0098,0.004302314,0.015470965
0.50,12,72,0.109,2381.806885,142908.4131,0.005101901,0.018186625
0.50,12,72,0.109,2715.411865,162924.7119,0.00591443,0.020910237
0.50,12,72,0.109,3045.16748,182710.0488,0.006738939,0.023641119
0.50,12,72,0.109,3371.445801,202286.748,0.007574184,0.026378323
0.50,12,72,0.109,3446.183678,206771.0207,0.007770699,0.027013142
0.50,12,72,0.109,5004.070801,300244.248,0.011992683,0.040510328
